state,positive,negative,pending,death,total,lastUpdateEt,checkTimeEt
AK,1,143,,,144,3/13 16:30,3/16 12:39
AL,22,28,46,0,96,3/15 19:20,3/16 12:40
AR,22,132,14,,168,3/16 00:00,3/16 12:41
AS,0,,,,0,3/14 00:00,3/16 13:25
AZ,18,121,50,0,189,3/16 12:00,3/16 12:22
CA,335,7981,,6,8316,3/16 07:47,3/16 12:46
CO,131,627,,1,758,3/15 15:45,3/16 12:46
CT,26,125,,,151,3/15 18:00,3/16 12:47
DC,17,96,7,,120,3/15 19:00,3/16 12:48
DE,6,36,32,,74,3/14 13:00,3/19 11:59
FL,149,684,514,4,1347,3/15 18:10,3/16 12:51
GA,121,,,1,121,3/16 12:00,3/16 12:51
GU,3,23,,,26,3/16 03:45,3/16 13:24
HI,7,,,,7,3/13 00:00,3/16 12:49
IA,22,83,,,105,3/16 00:00,3/16 12:54
ID,5,265,,,270,3/16 10:25,3/16 12:55
IL,93,932,,,1025,3/15 00:00,3/16 12:55
IN,24,115,,0,139,3/15 00:59,3/16 12:56
KS,8,166,,1,174,3/15 16:00,3/16 12:58
KY,21,234,,1,255,3/16 09:47,3/16 13:35
LA,114,188,,2,302,3/15 10:30,3/16 13:02
MA,164,352,,,516,3/15 16:00,3/16 13:03
MD,37,94,,,131,3/16 10:00,3/16 13:04
ME,17,764,,,781,3/16 11:00,3/16 13:06
MI,53,272,30,,355,3/14 00:00,3/16 13:07
MN,54,1839,,,1893,3/16 00:00,3/16 13:08
MO,6,164,,0,170,3/16 10:00,3/16 13:08
MP,0,,,,0,3/16 01:30,3/16 13:25
MS,12,277,,,289,3/16 00:00,3/16 13:10
MT,7,198,0,,205,3/15 21:45,3/16 13:13
NC,33,296,151,0,480,3/16 10:15,3/16 12:20
ND,1,123,0,0,124,3/16 00:00,3/16 13:20
NE,18,170,,,188,3/15 00:00,3/16 13:18
NH,13,271,95,,379,3/16 09:00,3/16 13:20
NJ,98,120,34,2,252,3/15 13:00,3/16 13:19
NM,17,566,,,583,3/15 00:00,3/16 13:20
NV,26,168,,,194,3/16 09:15,3/16 13:24
NY,729,4543,,7,5272,3/16 11:37,3/16 13:25
OH,37,140,361,,538,3/15 14:00,3/16 13:27
OK,10,174,29,,213,3/16 07:00,3/16 13:08
OR,39,579,182,,800,3/15 12:00,3/16 13:28
PA,76,670,,,746,3/16 12:15,3/16 13:33
PR,5,,,,5,3/15 00:00,3/16 13:23
RI,21,308,149,,478,3/16 00:00,3/16 12:29
SC,28,235,,1,264,3/15 16:28,3/16 12:29
SD,10,494,0,,504,3/16 00:00,3/16 12:13
TN,39,157,,,196,3/15 15:00,3/16 13:37
TX,57,,,,57,3/16 13:00,3/16 13:43
UT,28,131,,0,159,3/15 14:45,3/16 13:44
VA,51,438,,1,489,3/16 11:00,3/16 12:28
VI,1,,,,1,3/15 11:30,3/16 13:22
VT,8,421,,,429,3/16 13:00,3/16 13:45
WA,769,9451,,42,10220,3/15 18:00,3/16 13:45
WI,33,313,,,346,3/15 15:00,3/16 13:46
WV,0,38,3,0,41,3/15 00:00,3/16 13:46
WY,3,,,,3,3/14 00:00,3/16 13:46